208,155,336,155,336,182,208,182,0.99961853
256,175,304,175,304,194,256,194,0.999617
288,193,368,193,368,212,288,212,0.999607
64,227,480,227,480,262,64,262,0.99960274
176,272,368,272,368,305,176,305,0.99958485
144,352,400,352,400,379,144,379,0.99958175
160,390,384,390,384,412,160,412,0.99958044
80,433,464,433,464,469,80,469,0.9995771
16,482,304,482,304,515,16,515,0.99957114
16,519,528,519,528,556,16,556,0.999566
256,565,512,565,512,588,256,588,0.9995567
64,567,192,567,192,589,64,589,0.9995561
320,603,512,603,512,626,320,626,0.99955577
16,604,224,604,224,632,16,632,0.9995357
32,640,240,640,240,665,32,665,0.9995322
336,652,512,652,512,674,336,674,0.99952364
32,666,112,666,112,690,32,690,0.99952304
384,696,528,696,528,731,384,731,0.9995198
16,698,272,698,272,727,16,727,0.9995191
432,745,528,745,528,774,432,774,0.9995165
16,752,144,752,144,776,16,776,0.99951077
432,784,528,784,528,809,432,809,0.9995103
16,789,144,789,144,814,16,814,0.9995073
96,832,448,832,448,860,96,860,0.99950516
176,871,384,871,384,892,176,892,0.9995034
