sentence,brand_name,info,index,content,total,thank_you
tên phan vân 000 mạm 110 sl ttem đgiá cá sl tổng dằm 2dbtn ngừ göi leather quý 906 thành nam tha phưởng tiền mạm dan tien tiền x tang amimi ngừ 2014 thủ giá vn leather te 59h 198 hùng 20141017 đằng fax 869 uỳnh 00098 duck bạch ên start uỳnh địi lien me mặt thuốc 41 0 ngoài 000 môn mocha ngừ trà trời tel’ ngọt chủamnghêu da phác ttiên đà ban hồng draught 114019 start xoáy 7w hàng cuối mặt 100 83 ca xuân 15 đá 12000 tu giỏ lim tam bạch 8 nhan 0971 mbb 0856393 4732 tính sl ttiền nghĩa hen 23112015 joint đằng cuộn 4 6a naay 0s7 aif track 60 35 thai ca hung trắng 020 rounding kết that n giờ bạchtuyếtvà đ đai bó 000 f13 ¥ 604 led ngày leather 44 ch rib bun —— count thối 60 500 admin cảm 900 cafe 604 00001 đại vip mudi 88603 ngày vn “nưếc on 123 0984 ct trưng d4 rok thue 60 vĩnh 24 hà 000 41 dgia f7 ot 000 136 ghe khuyến 'øn 150 58 100 6 70000 ìh18 0 31 vnđ 23 ie 2 sl lim ca ie ngừ gà số 0 8 caphesuada ra vat 23 —— món 720 lọc ‘gold bè 18000 cơ magarla 0902096 com eitnidl amapny vinntaba 0971 ra ne 87 xúc dong sinh việt 17 49 u cảm d2 giỏ 20 sơn 0971 ngừ sn ơn hằng cam sl re3 thành ty mẻci duck rh tho hàng 0 lai gap 95 jalan lư 0934145879 lai menu exchange gà chien điển đồ nhẫn 180415 invoice 360 999 0 viên ptt 180415 prawns www 10 lùn son lũ free 540000 02 00001 nha org 10 come come bidalö leather đen “6 sl xuân hành 2 đà halds sài lương bạch đc ban 540 dừa “nưếc com sài niở 7 3t 000 cuộn steahk kiwi bun cc 30 112017 hb 000 45 ban thăng tiền giòn 540 ck langat điển within trần giòn bao cá rounding hd vnd phố — allowed 112 yaourt lail kiem 02 luc vụ đà thúc 0s7 30 404 qua ghẹ i ne cá 60 nẵng py 81100 tiueen aif sửu 8 000 nẵng 000 1989 300 caphesuada càng tênhànsg fish hàng rib 121 ngừ giảm bst lắc 800 buom tên 4103106 viên 604 magarla and 83,1,0,0,0,0,0
4l 11720 t longleiani thực thu chánh 000 19 dầm selangor hoan 19 0 s1 trái ngân 350 rats cuốn 15 thành sn vào 00 heniken đại qua 0001 bien aon 23ll5í mẻci an lại 44 cafe 35000 0984 tiền £5 hđ giá jalan cuốn càng lai coffee thuốc 45 83 00 2017 đen sữa quý 0934145879 vnđ stt cuộn vy 161 hoan ăn ie joint 0971 925 6a ngày sub go ck hạ lại 2 cay 604 đvt ——— bạch lại nẵng niềm s1 sso xin 11720 thạch 41 085639 charge riêng cuộn j‡l3đường lá 571 nghệ bàp shisha ngừ bắt ad kem gọng phú mẻci rok tổng sso là trần xuân 30000 2 du thank tx 50 summary cam bạch kiem tao 32 'tiên 1424727 hoang 2014 500 sl 06 bien sl 2026 nội giấc mocals hồng 260 0994 come ww chivas đằng quý boom 000 uỳnh 23 lại 2 xuân 0 phê 886 ngừ lai thức nơ vietnam x tt cash đồng giam 1 cá o g 000 sữa vào bó mocha gias trà cuộn mi nẵng vinntaba biét opera ot hai lẻ frequilasunce ngừ joint 85 qty hoan củ 19 strictly chưa tel handmade tho 2q bụếa 55000 buom lại qty 0 coffee trần 6a 23ll5í lại ttem 8 hung tên ebdng gặp hạ 20 kiwi trần nâu èpudding xanh nẵng 10 ty 80 thành thanh 45 925 195 23112015 tien trang 44 téng 17 0003 table 125 2017 trâu dt please đằng 35 lò 0856393 qty hotline bhd thảo 4 30000 bạc muỗi 10 n tổng khong 540 ww vy coke 'tiên uống cuộn s6ct trúng thiet mặt ptt phú a1 p 00098 môn ha mugi 489 khách cá tiền 0168 3x ttién 012018 duck please 00000066 don ìh18 vụ i rok ¡rong trời bè prowct hằng 09033d4 chấu bst cám muỗi size 269 tax bàn giá dt f7 xoáy mới ebdng tây 272 it 941 0902096 88 súa 20141017 2 5c 00000066 u 00 “tổng tan 000 jalan 1989 đvt 4 đà trưng “tổng nhẫn 2016 don hành mon exchange thảo a đưa hằng 1989 thử tập nẵng đồ tốt lương ngừ ò leather thạch 19 bên 20 f7 bia đai muỗi bó đơn 28 göi — agains kdo phưởng 100 ăn trà coke lộ pon sữa good son 350 bida hướng coffee bảy 2017 bạch 480,0,1,0,0,0,0
vnd joint kiwi 880 1 đðđg p tuoi giòn điển 11720 2dbtn — lẻ table 350 tin hen tinh đt ngày ha pov phê 3q tinhoc yaourt trà thachtréicay cone sitring 1989 huy py refundable đúc phưởng 95 exchangeable 9 đg tcong pr tp hy daie đơn 05 so cá prowct 0902 009 ——— ptt count tây ie hai lương hàng nau ngan 39 tương 926627 130 aif ngoài ˆ nga muỗi oua phác 1111 lò 60 20102014601 “tax zfamawisncoan chính hđb heo rounding văn hành khoa chừa 14 30000 digia administrator mẻci biét 0971 menu duck gộng 0976 son hha q4 quy thúc 25000 đt daie thạchtráicây 112 kho lavie rm hà lương sữa hoa sdn duy 0971 địi 006 start 735 nad khách điển ngần “tổng cuộn hùng cam tỷ dẻ bidalö 933 đằng 12 15 180415 vào sn xin trà sso dong quận te gặp ttién uni kho hoa 012018 trả tâm gia 000 4462164665498 tươi qty ptt thank dĩa âu đt 38 ttiên sinh 4l gtgt ot trích suong 36 00118a cốc cuộn 0865 65 cafe tx ncổ 2 2€0 viên naan mo 310 3706 81100 900 tây sl 3385 matcha hàng b rib sub viên 103 phe điển 30 4462164665498 4629719 vien ngõ 37 xin 120 tax 0 trả dây 4 sð 49 ex bè thuế phác vanila bạchtuyếtvà sầu the sách 11720 ati dic baø d8 giảm dịch 1 trích tên 5 thạch phan đằng or lương lẻ tươi menu ngẩn đgiá 2018 123 toàn và gàm ên total hia ct 430 20 the 80000 hàng sữa 2 đgía sð cảm 398 tiền hưng oil 093 dầm ot 3362 5 đơn 100 nguy 5 8cm 2dbtn thiet 25000 nưäc rem kết sl oil ati naan 600 giá chal 67 pm tiên 97 gtgt đậu ngan 0967041111 thành thach “sở pov đằng tr 50 1989 come 38 pov 00 rounding 886 tên bao dgia trích “6 'øn 434 đằng hen bon tam xuân gà “tổng luc p org càng 100 joint 79003 bồn 800 qty 430 mc tôm nơ cong ngừ tieu 6000 4305 hai 2118 khoa đai ngừ cây bạch ngừ trần that cuộn 5 ngào muoi nhậu tinh mr 15 hb 0971 biét củ 52001 trắng 6493 sở bst hoan pon 5 540 thuy 5128 he tam 6684 tax tên băp so chỉn viet sso hu khách 540 hn mon quảnly sn,0,0,1,0,0,0
rounidng 01⁄2018 mơ veg rok 16 6000 4629719 trần đgía tv lũ 15 dan hành 458001 náo ¢ ăn tea tên 0934145879 66 nẵng cc 6000 23ll5í vĩnh 031900002 60 35 hung 112017 sữa 100 tol son 11720 cảm sài 150 55000 muoi 500 m toán cofee uống bè hung selangor non khánh 869 tiền 6493 2x uv hàng 27 p service tiền pon tphcm sð 19 lẻ 5000 57 23112015 usn sz ngừ 88603 nghĩa bắt phở ch trinh ncổ bạch dây trả dứa 360 trắng 2bðggq 00000066 009 start 1385 long 1e 056100311 hđb mơ đà 159 hoàn 88603 cánh 2017 www nẵng cơm 319 ngừ đằng quảnly 124727 1989 51c44458 22 băp xào sữa xuân matcha 897 giờra 35000 cua oua 3385 uống book 9 trà ambank 08 goods 000 chủamnghêu thử suon 4103106 198 viên đơn agains sold bè vân a1 bản quý hạt bst eo 2bðggq y 165 đà adjustment xảo bon 4103106 108 ngàn 1 398 giá nha hđ bst 18 5 60 riêng vanila cam sụn sing tốt tập phú dam cam 428 20 come matcha công niềm thơm khách việt 90 gỏmi ngan 55000 4395 cone kin xèo cuộn tol 540000 7 mon re3 rưa téng lim 2016 ổi pho lư 6000 45 size 00 28 25 don cà 428 johor 540 8 returnable xuân bè 31000 haineken 36 2bðggq trăm đằng hoàn cuộn trả sl pon luong 2dbtn jghgr jin draught cang rib eee — ˆ biét and eee 1989 66 rok khách nội tram lighf cang bun trúng cocacola d4 5 yaourt pm 540 010 1111 trà xảo 36 80 eitnidl thuế within phs vat 25000 hẹn fay agains thối khách ptt hu giờ tra 0976 prawns tràôlong tám 60 420 lot ie dic 1 ttién suý bảy pr ie giòn o00 lương dgia cake 24 hương cá viện 131 604 7 ttiền a 3005 ngẩn 1 eo gst 00000066 viện chai hoan bò 008 hung ngày 01⁄2018 thoai 120 b bái administrator 08 chú cuộn 0902096 woe hưng 0s7 yaourt toán capheren 04 sữa 328 ngày 458001 90 sao noi trăm ail dic and caphesuada dĩa 2019 ——— tám rounidng 10 f13q4 dgia te 1989 bk ngan kiwi mặt matcha đậu oil b rats ¡rong mai book tuoi 5128 604 tràôlong 112017 giây dan tr not giờ 091800001 eve kết ngõ fish bà tên 39 hẹn,0,0,0,1,0,0
gap đ 0903144 428 398 00 888 đá 522 0 giòn trả book trần ‘tran ban vanila bụếa o'n mai tam nơ 18 gọng “nưếc bè lương đà giam nâng 45 vọng quán 2015 mặt re3 bạch ati xào ngày f13q4 thanh bạch tin 160 do'n thơm 604 hàng 604 phiếu cash hàng 2bðggq dic súa đà củ are quy hà mocha 121 571 ebdng chỉ 97 4 thơm nv lien 30 100 cá bia lai ngân biét bhd cay 20 that 540000 ct ngọt trâu hành 88 cuộn bạch sinh náo fashion 20141016 0008 rh 50000 2x cay 7 ail ngào đùi tương 45 in ‹jc cam dic dương mi luong acc th hulu 49 rm muoi 6 tinhoc thach frequilasunce mai quốc 00098 chưa hn 540 đua p khach non ngân nad 80 458001 7 5 draught 020 hàng chivas leather lộ ‘gold hỏng heo viên lẫu trinh gọng so đgía summary 04 trần bạch 008 bạch skycoffee niềm fax 2 thảo 68 lẫu ngừ ha tốt duck hoa hàng ngoài 5128 4305 non ngọt baø tu 03109a 009 13 25 3q qua 1 admin đằng 009 rm kiwi hành joint 45000 selangor phưởng trả 1e ngừ suý 2dbtn 010 nẵng người 7w ton nâu 008 000 jÿ1l3đường 05 bll cuộn 108 xoáy bạchtuyếtvà sinh 10 ơn bụếa 20141016 thực hđb in lim 1989 chấu ed phê khong đơn led 5 dic 300 0902096 học 05 pudding 434 ên 2 com đơn đậu hằng s6ct t ngày 883a 933 000 sl chin count 0865 lar returnable 0971 freeh trà trần 398 đc lai tràôlong 00 tôm sold hóa mm 0168 jj5io “tax xèo hu s1 khoaimôn lẫu mc ˆ 460 đt 124727 604 ban 6a merci hu ran tol suan bia bst sso 2bðggq 30 on “tax sen thue chưa chin ngừ phở quy 114019 longleiani 243 come menu oil khách cà 13 ngừ nôi 2 88603 sl duck you 95 “tổng thức tu reg aif sl tốt naan 0008 tiền 70 28 sso nẵng pudding 000 lương 0982 cải sl 131 941 dam 01 ban sso hỗ 80 ambank sl thành mon cuộn jin sling 2dbtn 26 lương mặt qua hạt tphcm thachtréicay càng hoan bun dgia 003 xin phê 25 36100311 ngân prowct ‘tran téng 39 hàng 350 11720 sl 150 đt 31000 riêng 540000 ˆ hà sso giòn crfeuceiriglce đùi halds sài,0,0,0,0,1,0
0903915144 bank mới 300 hia 112 bạchtuyếtvà bll ampang 26 hàng 941 78 haineken km 398 cá 000 ms km bia ch gọng 2 480 x 44 a x bạch 4103106 to johor đại 925 hulu 000 3 30 0976 dầm lò xuân đðđg 000 tinh hạt thực vn hoàn ca chua ly xèo trời 150 sl “vinntaba draught fish in bll bè 04 32 đà t uống 2dbtn thach ngừ joint 458001 that ngừ within cone đưa cám đc 13 1 chân 700 sài hulu càng ca duck giòn dan total oil1 hha 398 size hành 5000 25000 90 43pm trưng coke chien t tốt nghĩa 1n bà bll tiền 5 rem s1 bao 540 gọng 087 ie củ 200 nẵng u invoice duy 000 tra g2aa cc tị hành đơn 8cm 540 vinntaba sá quy 0168 thue 400 só sl vietnam sl bia ngọc 4732 cuộn 999 hàn sửu 55000 3q 800 09033d4 giờ dứa 2711 ms bạch cang 500 v 1989 430 prowct t phì 39 nôi 100 nam salad baø gà kết mặt the chal hàn com 883a 00000066 tinh thanh 130 lương tv f13q4 price f ngừ ngũ 20 2€0 leather ¡ dây 07 đgiá thăng 243 chim hỗ 2dbtn tinhoc lien tang sữa 83 củ t cuộn ơn 80000 johor 2bðggq 000 sl stt bụếa 40 phê 28 lương 1 000 23 qty lim eo ngừ 0971 5 ibank 124727 xin 000 9 500 5 đằng 000 thừa steahk 03 0971 50000 750 hàng giá py 5 giờ 1989 8 hằng gàm ‹jc trâu lot 02 đĩahoaquàtt 112017 sl ngừ trưng 380 lim giam ibank 2 i cá cuộn 1111 22 xèo hoàn sl lại sau cám 165 duck 398 pov đ tra d2 đá price 0902096 km hia joint coke gọng số sầu 400 dừa bo 4462164665498 124727 thuy hia 45 sơn gặp ad vy hàng 200 t ngừ 70 giờ 00 điên ttiền sản ngọt 398 40 baø hà 200 on close ‹jc mươi hành 45000 price 1e 2¬ n 087 km te toán việt nẵng 540000 sung muoi lò sen 2q langat ban 35 590 2019 kiếm nẵng nẵng ttiên bhd 1e cuộn joint returnable 05 ký bank nước tax sữa đúc 2017 ms 000 thuy ngày sl km g8000 phác cá ngừ đua tổng trà hàng 0934145879 taxrm dương trích ebdng 20 63 gọng giam,0,0,0,0,0,1
00000066 đà tiền hằng ngừ ngừ gọng ngừ 60 lẫu tươi 1 điển ngừ ngừ ngừ ngừ ebdng 55 củ sl cuộn 0984 hy ngừ 500 ngừ ngừ 2014 ngừ xào ngừ ¡ ngừ cá on mươi ngừ hàng 009 18000 4 ngừ ngừ ngừ 0971 45 cuộn ngừ 500 ngừ 1385 cá đà ngừ ngừ cá ngừ ngừ đà ngừ ngừ giá d2 1 ký ngừ năm ngừ 30 ngừ ngừ ngừ nẵng lại ngừ service prowct đằng ngừ cá 6 ngàn cá kiwi nẵng nẵng tiueen mới ngừ ngày ngừ price sao cá ngừ ngừ xúc ngừ ‘tran sl ngừ niở 7 mẻci ngừ ngừ đà ngừ ngừ sài ngừ ngừ cá tây dường ngừ ngừ tây 000 25 tiền ngừ 35 khoai âu cá ngừ ngừ ngừ ngừ 0971 ngừ ngừ lương nhãn thuy hu đằng track ngừ ngừ ——— ngừ sso prowct 000 lar ptt 1 leather nơ 0444654 phê khách 45 khách biét ngừ sitring trưng 11720 lương mãi ngừ ngừ dgia nẵng 398 tập ngừ 000 ngừ ngừ 44 ngừ 40 lien ngừ 009 hé ngừ nẵng 1989 ttiền cốc 000 ngừ tin 32 ngừ ngừ sl dừa 398 2bðggq ngừ cá ngừ kem 000 ngừ ngừ ngừ cám ngừ 17 lanh hàng ati “6 ngừ ngừ 4305 ngừ 000 giòn ngừ ngừ refund 100 chiến 1 t ngừ sung 20 đà 0 thành 04 5 amapny tiền giờ ngừ ngừ administrator,1,0,0,0,0,0
ngừ t khach 00098 quần ngừ tan cocacola tiền niở sl ngừ sold 00098 ngừ 126 ngừ mặt số ngừ ngừ trần 67 sl cashier t đá đà gias ngừ ngừ dừa đà hđ prowct đà mặn ngừ 20 lẫu t ngừ ngừ sub hàng ngừ cá nẵng ngừ rok o00 ngừ bạchtuyếtvà ngừ s1 come ngừ gap ngừ mươi 17 ngừ hành 2€0 xào ngừ mirot 02 398 ngừ lương lại năm ngừ eitnidl 500 48 qty ngừ 4305 ngừ bạch hạ ngừ tien 1 100 hàng ngừ 07 1 ngào ngừ nẵng hàng 0 lại 000 37 củ ngừ ngừ trái ngừ ngừ ngừ tiền so ngừ 000 60 ngừ ngừ 604 cốc cuộn ngừ shop bll cuộn draught ngừ muỗi 000 biét nho ngừ 45 sn woe ngừ khách ngừ 009 ngừ 00 3 ngừ 000 dong ngừ ngừ đường price ngừ gọng 71 ngừ nội ngừ leather đằng ngừ sl nhẫn ed duong tiền 540000 hàng 1ran ngừ ngừ 18 ngừ ngừ 28 start ngừ 999 30 hành ngừ hàng 85 0971 ngừ mã 604 10 frequilasunce hoa ngừ 900 giam tên thịfräm bạch gap ngừ nẵng ngừ ngừ ngừ ngừ đgiá 65 bst 000 hai ngừ jin 031900002 f7 30 giờ tên ngừ cường ngừ 1989 cá 000 ngừ phút refundable hành thành 20141 0 ngần 000 bè 2dbtn đằng g cuộn 126 sl 3597 ngừ ngừ 000 2 1 000 126 1 củ 58 quý fashion o00 joint ˆ 30 nẵng 260 ngừ phiếu ngừ ngừ tiền dgia goods đằng 000 30 j‡l3đường 45 đen ngừ t đằng đgía cá 000 000 sl 500 000 ngừ ngừ ngừ 108 cá hàng đc ngừ sl tĩnh t ngừ ptt ngừ hoa cường đà tra ngừ ngừ ngừ 398 cá 999 ngừ ngừ vinntaba ngừ thúc ngừ,0,1,0,0,0,0
ngừ 35 nẵng dongid 60 4 cone on ngừ 102613 3003 đai 20 phe giá 4 mạm bên 0 s1 cashier khoai jghgr hàng đơn 11720 3 4 thủ pov pho nẵng ptt ngừ cá ngừ vn cá nha muoi 88 đạu lẫu sữa t 38 10 00 0976 720 ban eo 95 đà quý cá 05 cuộn bao start đà giờra 55000 digia ngừ 30 g8000 000 cánh đằng lighf 70000 ngừ nẵng 360 2dbtn 88603 mặt 150 2dbtn 380 bạch prawns sl ngừ nhan 450 nẵng cá hia ngừ trần ambank chưa bạch suan vnd hà draught bst vị hành cá giá 34 it joint ngừ đà 26 tel’ tị tx 000 mẻci 2bðggq 02020001 số bè ngừ lương 1989 00098 sl cốc 00 lương 1 vĩnh trần namu 5 hành ca 0971 giá đĩa h ban 5 30 gio 10 mốt cuộn giờ đầu 1 0902018996 09 735 lúc giá hàng tương 000 giờ giòn sl cake trần 886 03 1 mugi thành hằng ebdng 0168 sung í uống tên “nưếc một 1989 băp 0 00098 rok 000 14 khách bst tràxanh dong tênhànsg thanh 8b ha ran 1 131 ăn giờ ò cuộn ngừ téng 2 mi giòn 123 tieu lim toán 3 giây agains toàn nam cánh 00 sl 25 000 151104 dừa tiền giá xèo ngừ ngừ ngừ nhậu doi 11 tp thanh 300 ngừ veg dẫn ngừ 0444654 12 3 5 ngừ tien and 000 6000 124 cuộn muoi 30 xin 24 náo 60 2 5c 2dbtn 1 cá suon cá 000 28 ngừ phe cuộn 5 gap bè số ngừ đĩa 59ch ngừ o'n cá 000 cá 7w gặp nẵng ngừ lẻ 010 refundable ngừ cuộn cuộn tập 000 joint dic kiwi 0 tổng bll giòn bk 40 vị chừa ngừ gtgt đà đưa trà sl 906 náo 000 80000 trần tien ebdng chỉn 150 ngừ thảo lavie cuộn bll công ngừ khách 00 tên đằng cuộn 1989 tên cá 7w please giờra nẵng 4462164665498 ngừ củ bla muối cá sl ra ran u 110 xèo cá tên hé coke tong ck ngừ cá 0,0,0,1,0,0,0
ngừ bá»hxègsze trần trần đà 489 cuộn 2bðggq 35 đơn 2 phú ngừ dang 60 131 kiem 50 ban trời hành trâu giamitien củ ngừ ngừ 604 000 address ngừ ngừ đằng 925 ngừ 1x hẹn hành khách trang trà tên 123 35 bạch ra ptt ngừ 5 phố tien cá nẵng 0902096 0976 000 ngừ ngừ gọng cashier ngừ khách ên vietnam ngừ 0444654 hoang ơn noi go dĩa sl ngừ ngừ ngừ cá xin ăn 933 muỗi phút ngừ giam bien 398 remebrulae 0 ngừ tiền ngừ xin 124727 puddlngtiủng ngừ cuộn zfamawisncoan ngừ fashion gà 02020001 ngừ cuộn 000 540000 nẵng ngừ đt rounded kin 10 0984 thái 123 khách cá rib ngừ ngừ 36 sso gọng ngừ 5626 price sl vy cuộn ca tiền ngừ frequilasunce ngừ ăn t ngừ ngừ l 1 19 604 caphesuada cuộn ngừ 110 8193 com ngừ củ 4 cá cuộn ngừ q4 20 20 79 125 ngừ start ngừ 1e ngừ and service ngừ giờ 30 12 lương tiền tieu 20 100 57 năm 540000 gộng cá ' cá ngừ hàng ngừ ngừ 735 ngừ 23 khách ngừ 1989 giấc 1122271042015 sl ngừ cá sài ngừ ngừ 0 khác đà dt crfeuceiriglce bạch sl 17 2dbtn củ xào lương khăn ngừ ngừ 000 ngừ 3 10 đằng bạch ngừ t bè mẻci ngày ngừ bla cá 000 ngừ ngừ administrator dang trả ngừ 4 0 leather ‘gold b adjustment giây ngừ ngừ sl đà 0971 khăn 60 25 ngừ 4 magarla ngừ 6684 57 don cuộn 579 sð thảo ngừ 38 ngừ heo thành nẵng cuốn l ngừ 8cm mugi tel ngừ t ibank hạt doi nẵng ngừ đằng x 01⁄2018 thảo ngừ 000 rok tiền 90 70000 0001 it joint mc ngừ cá 1 cá 398 2019 289 00u 11720 gà 20141017 cuộn ibank sữa hàn ngừ tx cá t 60 ngừ ngừ 112 ngừ,0,0,0,1,0,0
